N,seed,consensus_rate,optimal_alpha,cars_acc,imagenet_acc
30,0,0.096621,0.95,0.240786,0.592719
3,0,0.351585,0.50,0.304668,0.597319
3,1,0.297597,0.50,0.324324,0.604921
3,2,0.269340,0.50,0.339066,0.604521
5,0,0.229842,0.50,0.348894,0.608322
5,1,0.229983,0.50,0.348894,0.609522
5,2,0.198018,0.50,0.357494,0.607321
10,0,0.156162,0.75,0.254300,0.596519
10,1,0.149310,0.75,0.259214,0.596919
10,2,0.145618,0.75,0.259214,0.594719
15,0,0.127561,0.75,0.283784,0.600720
15,1,0.130335,0.75,0.282555,0.598920
15,2,0.120315,0.75,0.292383,0.601120
20,0,0.112879,0.90,0.239558,0.593319
20,1,0.116218,0.90,0.240786,0.593119
20,2,0.110425,0.90,0.240786,0.593319
25,0,0.102242,0.90,0.254300,0.595119
25,1,0.103025,0.90,0.253071,0.595519
25,2,0.102366,0.90,0.251843,0.594119
